user_index,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
10,0.111,0.162,0.112,0.128,0.162,0.087,0.199,0.37,0.408,0.841,0.829,0.828,0.415,0.473,0.896,0.882,0.831,0.998,0.499,0.303,0.447,0.621,0.197,0.187
11,0.244,0.652,0.543,0.561,0.793,0.426,0.311,0.38,0.769,0.233,0.27,0.344,0.179,0.278,0.318,0.567,0.082,0.584,0.558,0.898,0.274,0.11,0.241,0.709
12,0.123,0.174,0.198,0.187,0.08,0.116,0.08,0.416,0.304,0.843,0.894,0.916,0.44,0.495,0.98,0.899,0.84,0.807,0.301,0.461,0.615,0.346,0.092,0.126
13,0.903,0.999,0.828,0.636,0.422,0.377,0.091,0.198,0.056,0.087,0.078,0.055,0.431,0.561,0.504,0.406,0.653,0.375,0.628,0.467,0.811,0.936,0.997,0.964
14,0.069,0.174,0.12,0.053,0.145,0.114,0.093,0.43,0.472,0.942,0.808,0.968,0.689,0.361,0.953,0.929,0.835,0.801,0.374,0.643,0.504,0.659,0.081,0.13
15,0.104,0.074,0.095,0.153,0.063,0.077,0.953,0.981,0.938,0.948,0.999,0.648,0.572,0.554,0.413,0.677,0.359,0.502,0.582,0.63,0.401,0.348,0.102,0.106
16,0.107,0.095,0.046,0.048,0.054,0.104,0.288,0.522,0.801,0.965,0.961,0.935,0.928,0.86,0.901,0.92,0.93,0.837,0.71,0.625,0.452,0.399,0.274,0.191
17,0.091,0.101,0.051,0.051,0.049,0.101,0.303,0.504,0.729,1.04,0.93,0.938,0.867,0.931,0.916,1.023,0.824,0.813,0.702,0.646,0.517,0.368,0.292,0.209
18,0.839,0.871,0.906,0.693,0.629,0.354,0.115,0.121,0.126,0.11,0.193,0.096,0.691,0.366,0.588,0.333,0.361,0.449,0.541,0.623,0.924,0.913,0.808,0.999
19,0.081,0.131,0.193,0.176,0.142,0.105,0.104,0.605,0.603,0.972,0.866,0.876,0.64,0.542,0.993,0.895,0.985,0.893,0.465,0.632,0.521,0.351,0.192,0.113
20,0.062,0.192,0.133,0.059,0.163,0.146,0.949,0.91,0.829,0.906,0.846,0.674,0.406,0.42,0.678,0.601,0.412,0.556,0.618,0.31,0.608,0.664,0.141,0.103
21,0.167,0.154,0.168,0.169,0.121,0.185,0.923,0.953,0.848,0.909,0.928,0.411,0.521,0.392,0.606,0.396,0.334,0.417,0.411,0.403,0.527,0.56,0.199,0.141
22,0.072,0.125,0.077,0.106,0.105,0.145,0.99,0.942,0.956,0.815,0.991,0.445,0.381,0.34,0.508,0.595,0.407,0.653,0.613,0.691,0.46,0.425,0.111,0.129
23,0.171,0.164,0.177,0.056,0.173,0.078,0.812,0.895,0.841,0.983,0.929,0.37,0.515,0.392,0.629,0.441,0.352,0.627,0.479,0.592,0.538,0.416,0.18,0.095
24,0.105,0.185,0.067,0.078,0.075,0.183,0.187,0.689,0.39,0.851,0.842,0.864,0.579,0.402,0.959,0.976,0.826,0.922,0.51,0.417,0.628,0.377,0.135,0.111
25,0.197,0.181,0.108,0.154,0.097,0.082,0.189,0.436,0.675,0.966,0.816,0.853,0.325,0.418,0.931,0.939,0.898,0.831,0.542,0.576,0.624,0.567,0.073,0.132
26,0.154,0.129,0.148,0.19,0.147,0.055,0.934,0.819,0.941,0.863,0.807,0.649,0.458,0.631,0.384,0.442,0.43,0.369,0.473,0.653,0.505,0.506,0.167,0.155
27,0.326,0.622,0.662,0.095,0.142,0.075,0.104,0.073,0.083,0.388,0.489,0.864,0.921,0.926,0.617,0.472,0.549,0.344,0.959,0.886,0.903,0.313,0.375,0.477
28,0.865,0.898,0.885,0.605,0.644,0.486,0.053,0.167,0.145,0.158,0.154,0.096,0.304,0.306,0.48,0.399,0.311,0.481,0.609,0.335,0.945,0.852,0.973,0.834
29,0.593,0.469,0.419,0.131,0.056,0.11,0.147,0.192,0.173,0.514,0.326,0.943,0.907,0.923,0.608,0.328,0.431,0.643,0.801,0.972,0.813,0.62,0.668,0.35
30,0.659,0.387,0.138,0.141,0.102,0.143,0.421,0.653,0.558,0.451,0.471,0.517,0.986,0.968,1.0,0.645,0.389,0.361,0.558,0.381,0.421,0.577,0.583,0.503
31,0.12,0.11,0.086,0.197,0.183,0.114,0.807,0.949,0.965,0.959,0.906,0.61,0.371,0.626,0.576,0.566,0.586,0.593,0.565,0.589,0.484,0.391,0.181,0.194
32,0.437,0.398,0.191,0.053,0.111,0.199,0.407,0.314,0.64,0.662,0.678,0.328,0.884,0.976,0.888,0.658,0.359,0.597,0.302,0.432,0.622,0.345,0.345,0.602
33,0.52,0.583,0.061,0.176,0.098,0.118,0.66,0.301,0.403,0.51,0.432,0.326,0.898,0.99,0.803,0.52,0.361,0.54,0.348,0.349,0.313,0.591,0.596,0.463
34,0.911,0.925,0.977,0.461,0.36,0.583,0.185,0.191,0.078,0.137,0.068,0.157,0.388,0.697,0.484,0.337,0.555,0.406,0.45,0.514,0.838,0.869,0.903,0.927
35,0.067,0.115,0.103,0.112,0.13,0.133,0.175,0.573,0.612,0.943,0.869,0.974,0.551,0.561,0.951,0.857,0.913,0.909,0.347,0.684,0.564,0.56,0.116,0.076
36,0.055,0.171,0.119,0.067,0.189,0.16,0.058,0.688,0.363,0.936,0.951,0.925,0.686,0.645,0.953,0.894,0.804,0.985,0.629,0.46,0.564,0.613,0.096,0.13
37,0.108,0.093,0.08,0.128,0.069,0.06,0.818,0.941,0.961,0.946,0.983,0.465,0.683,0.456,0.321,0.688,0.316,0.49,0.332,0.404,0.304,0.353,0.063,0.071
38,0.168,0.121,0.171,0.118,0.065,0.152,0.185,0.646,0.522,0.943,0.917,0.917,0.382,0.515,0.885,0.874,0.915,0.918,0.517,0.614,0.616,0.444,0.159,0.079
39,0.11,0.09,0.047,0.048,0.053,0.101,0.32,0.508,0.733,0.901,1.036,1.033,0.939,0.837,1.017,0.981,0.883,0.749,0.631,0.636,0.537,0.418,0.303,0.2
40,0.395,0.606,0.085,0.169,0.061,0.054,0.423,0.524,0.467,0.527,0.389,0.483,0.823,0.888,0.88,0.321,0.576,0.672,0.427,0.606,0.354,0.315,0.424,0.405
41,0.103,0.092,0.055,0.047,0.047,0.096,0.276,0.521,0.778,1.042,0.976,1.005,0.899,0.819,0.903,1.064,0.899,0.72,0.66,0.626,0.49,0.409,0.31,0.189
42,0.104,0.092,0.049,0.053,0.048,0.102,0.277,0.533,0.87,1.097,0.966,0.927,0.87,0.871,0.988,1.001,0.973,0.812,0.691,0.588,0.504,0.363,0.284,0.18
43,0.102,0.103,0.054,0.048,0.05,0.099,0.281,0.539,0.72,0.92,0.926,0.914,0.848,0.845,1.089,1.033,0.968,0.766,0.685,0.596,0.494,0.415,0.273,0.18
44,0.12,0.129,0.179,0.13,0.155,0.156,0.054,0.579,0.604,0.911,0.813,0.953,0.303,0.385,0.881,0.997,0.869,0.913,0.307,0.472,0.568,0.639,0.09,0.103
45,0.121,0.115,0.071,0.108,0.056,0.051,0.158,0.312,0.671,0.972,0.886,0.85,0.553,0.303,0.891,0.926,0.871,0.985,0.609,0.521,0.313,0.453,0.136,0.084
46,0.105,0.099,0.052,0.051,0.049,0.091,0.283,0.545,0.785,0.905,1.043,1.057,0.984,0.964,0.944,0.932,0.958,0.879,0.631,0.571,0.47,0.404,0.292,0.197
47,0.481,0.474,0.38,0.175,0.121,0.087,0.185,0.133,0.172,0.6,0.686,0.824,0.912,0.942,0.632,0.583,0.407,0.45,0.84,0.807,0.863,0.351,0.394,0.389
48,0.429,0.566,0.317,0.066,0.182,0.141,0.145,0.066,0.126,0.471,0.449,0.982,0.945,0.894,0.676,0.687,0.485,0.538,0.949,0.939,0.927,0.441,0.377,0.622
49,0.123,0.194,0.217,0.758,0.052,0.448,0.74,0.391,0.558,0.513,0.062,0.727,0.804,0.367,0.981,0.573,0.98,0.329,0.696,0.674,0.731,0.242,0.437,0.969
50,0.387,0.507,0.164,0.109,0.093,0.064,0.405,0.422,0.34,0.377,0.687,0.398,0.88,0.994,0.923,0.461,0.528,0.402,0.648,0.637,0.317,0.5,0.492,0.425
51,0.177,0.137,0.102,0.104,0.168,0.153,0.079,0.67,0.611,0.941,0.814,0.957,0.49,0.533,0.946,0.966,0.97,0.857,0.544,0.527,0.533,0.49,0.188,0.153
52,0.092,0.1,0.05,0.049,0.049,0.108,0.323,0.482,0.817,0.954,0.962,1.011,0.889,0.816,0.914,1.011,0.919,0.726,0.654,0.548,0.491,0.375,0.304,0.22
53,0.098,0.107,0.052,0.051,0.052,0.109,0.29,0.536,0.779,0.96,1.089,0.93,0.936,0.815,1.046,1.085,0.816,0.802,0.767,0.653,0.505,0.39,0.318,0.186
54,0.068,0.113,0.07,0.187,0.095,0.177,0.146,0.526,0.427,0.883,0.858,0.834,0.423,0.372,0.898,0.981,0.965,0.959,0.608,0.406,0.553,0.596,0.065,0.184
55,0.093,0.097,0.053,0.047,0.052,0.109,0.304,0.523,0.725,1.04,1.054,1.081,0.944,0.967,0.977,0.946,0.82,0.819,0.641,0.572,0.464,0.393,0.277,0.2
56,0.105,0.1,0.054,0.047,0.047,0.099,0.278,0.502,0.787,1.028,1.033,1.058,0.819,0.971,0.918,1.056,0.889,0.741,0.719,0.595,0.535,0.435,0.296,0.182
57,0.323,0.735,0.833,0.785,0.53,0.843,0.709,0.095,0.729,0.706,0.079,0.685,0.478,0.262,0.836,0.492,0.701,0.681,0.079,0.746,0.052,0.237,0.276,0.825
58,0.134,0.116,0.067,0.178,0.14,0.125,0.829,0.978,0.886,0.844,0.982,0.561,0.359,0.351,0.429,0.586,0.684,0.579,0.464,0.474,0.59,0.501,0.156,0.13
59,0.148,0.15,0.109,0.124,0.187,0.18,0.057,0.589,0.381,0.938,0.806,0.805,0.682,0.689,0.966,0.85,0.8,0.947,0.45,0.587,0.334,0.694,0.099,0.112
60,0.382,0.347,0.618,0.136,0.114,0.089,0.148,0.149,0.145,0.62,0.305,0.83,0.868,0.814,0.422,0.689,0.384,0.694,0.859,0.831,0.985,0.611,0.385,0.689
61,0.098,0.105,0.168,0.077,0.111,0.062,0.121,0.416,0.6,0.975,0.947,0.976,0.427,0.409,0.862,0.811,0.876,0.934,0.439,0.671,0.696,0.367,0.081,0.169
62,0.945,0.925,0.917,0.657,0.556,0.697,0.114,0.053,0.171,0.067,0.186,0.144,0.343,0.546,0.416,0.417,0.383,0.33,0.611,0.671,0.977,0.879,0.872,0.955
63,0.181,0.162,0.129,0.096,0.062,0.094,0.094,0.311,0.509,0.812,0.821,0.816,0.31,0.413,0.97,0.837,0.979,0.832,0.588,0.613,0.561,0.645,0.175,0.185
64,0.372,0.683,0.54,0.704,0.267,0.72,0.406,0.565,0.175,0.31,0.823,0.682,0.943,0.566,0.923,0.876,0.49,0.5,0.238,0.405,0.235,0.816,0.208,0.05
65,0.932,0.664,0.241,0.191,0.44,0.326,0.213,0.656,0.632,0.542,0.56,0.643,1.0,0.187,0.362,0.821,0.708,0.411,0.509,0.765,0.497,0.392,0.795,0.722
66,0.952,0.966,0.989,0.593,0.318,0.464,0.11,0.194,0.086,0.163,0.19,0.187,0.334,0.48,0.652,0.541,0.412,0.479,0.338,0.522,0.908,0.901,0.934,0.856
67,0.101,0.109,0.047,0.05,0.047,0.108,0.326,0.508,0.742,0.912,0.935,0.921,0.811,0.883,0.984,0.987,0.855,0.849,0.721,0.629,0.457,0.439,0.278,0.186
68,0.103,0.091,0.048,0.046,0.047,0.101,0.28,0.493,0.805,0.915,0.923,0.996,0.906,0.918,1.08,0.909,0.916,0.824,0.765,0.659,0.541,0.405,0.314,0.201
69,0.839,0.915,0.803,0.368,0.633,0.601,0.079,0.17,0.155,0.059,0.125,0.198,0.451,0.593,0.673,0.668,0.473,0.329,0.316,0.563,0.833,0.897,0.894,0.975
70,0.094,0.097,0.051,0.047,0.049,0.109,0.271,0.503,0.861,0.941,1.08,1.055,0.857,0.893,1.018,1.061,0.866,0.837,0.636,0.639,0.487,0.439,0.315,0.183
71,0.145,0.125,0.111,0.052,0.148,0.096,0.86,0.968,0.859,0.875,0.84,0.33,0.398,0.42,0.585,0.626,0.506,0.57,0.511,0.65,0.563,0.353,0.115,0.114
72,0.147,0.137,0.162,0.084,0.084,0.143,0.07,0.698,0.602,0.902,0.935,0.976,0.673,0.301,0.81,0.837,0.906,0.858,0.364,0.472,0.533,0.375,0.057,0.192
73,0.134,0.126,0.156,0.177,0.072,0.051,0.873,0.959,0.975,0.909,0.91,0.657,0.365,0.35,0.623,0.697,0.599,0.312,0.389,0.619,0.49,0.485,0.085,0.073
74,0.656,0.673,0.146,0.084,0.166,0.069,0.512,0.327,0.568,0.511,0.385,0.537,0.904,0.816,0.888,0.456,0.416,0.418,0.679,0.437,0.378,0.395,0.311,0.64
75,0.254,0.426,0.445,0.127,0.17,0.218,0.308,0.613,0.965,0.583,0.9,0.759,0.506,0.888,0.599,0.735,0.666,0.758,0.242,0.749,0.551,0.955,0.465,0.65
76,0.632,0.627,0.608,0.136,0.095,0.091,0.05,0.055,0.095,0.489,0.482,0.864,0.966,0.945,0.63,0.658,0.586,0.601,0.868,0.886,0.985,0.407,0.553,0.384
77,0.18,0.165,0.163,0.114,0.099,0.092,0.92,0.851,0.948,0.965,0.922,0.481,0.312,0.659,0.677,0.472,0.477,0.559,0.561,0.342,0.461,0.645,0.184,0.05
78,0.803,0.603,0.966,0.688,0.609,0.789,0.727,0.649,0.891,0.266,0.938,0.216,0.362,0.438,0.059,0.893,0.103,0.655,0.056,0.897,0.329,0.428,0.274,0.816
79,0.871,0.829,0.931,0.365,0.385,0.345,0.158,0.192,0.146,0.066,0.183,0.193,0.455,0.395,0.396,0.348,0.624,0.458,0.628,0.617,0.878,0.843,0.929,0.826
80,0.553,0.467,0.594,0.195,0.075,0.131,0.051,0.197,0.061,0.463,0.552,0.857,0.871,0.861,0.641,0.318,0.393,0.532,0.804,0.968,0.896,0.547,0.655,0.41
81,0.095,0.099,0.049,0.054,0.052,0.108,0.327,0.475,0.875,0.961,1.085,1.068,0.901,0.945,1.004,1.005,0.854,0.783,0.722,0.632,0.508,0.413,0.293,0.211
82,0.465,0.461,0.55,0.084,0.163,0.09,0.185,0.144,0.181,0.574,0.576,0.906,0.968,0.867,0.542,0.318,0.64,0.4,0.865,0.823,0.836,0.56,0.542,0.506
83,0.136,0.125,0.096,0.196,0.157,0.107,0.098,0.391,0.493,0.836,0.992,0.879,0.451,0.688,0.854,0.931,0.977,0.882,0.543,0.4,0.399,0.468,0.072,0.173
84,0.094,0.189,0.174,0.19,0.116,0.051,0.051,0.335,0.376,0.8,0.984,0.887,0.491,0.643,0.95,0.926,0.843,0.818,0.42,0.417,0.334,0.323,0.118,0.16
85,0.155,0.123,0.146,0.098,0.093,0.172,0.064,0.493,0.441,0.842,0.822,0.909,0.507,0.487,0.968,0.9,0.899,0.885,0.678,0.689,0.419,0.593,0.174,0.116
86,0.099,0.101,0.048,0.048,0.052,0.105,0.326,0.506,0.831,0.971,0.902,0.912,0.925,0.901,1.062,0.91,0.814,0.735,0.649,0.633,0.498,0.396,0.304,0.199
87,0.108,0.135,0.15,0.08,0.183,0.092,0.81,0.91,0.908,0.883,0.899,0.561,0.536,0.634,0.7,0.35,0.549,0.56,0.628,0.434,0.303,0.427,0.053,0.167
88,0.886,0.904,0.949,0.595,0.606,0.666,0.081,0.101,0.075,0.096,0.08,0.094,0.462,0.442,0.32,0.418,0.331,0.329,0.402,0.432,0.953,0.877,0.8,0.964
89,0.078,0.219,0.557,0.649,0.108,0.443,0.445,0.924,0.65,0.368,0.967,0.701,0.302,0.447,0.733,0.561,0.87,0.084,0.73,0.545,0.611,0.225,0.966,0.808
90,0.35,0.412,0.326,0.075,0.108,0.145,0.118,0.058,0.121,0.654,0.467,0.813,0.913,0.968,0.39,0.456,0.508,0.549,0.955,0.84,0.869,0.652,0.311,0.693
91,0.835,0.64,0.104,0.097,0.208,0.138,0.816,0.344,0.184,0.924,0.946,0.908,0.171,0.938,0.168,0.63,0.142,0.587,0.556,0.738,0.89,0.429,0.879,0.295
92,0.439,0.553,0.151,0.181,0.18,0.151,0.671,0.553,0.588,0.552,0.357,0.382,0.858,0.881,0.959,0.367,0.5,0.345,0.676,0.327,0.699,0.583,0.467,0.519
93,0.102,0.093,0.049,0.047,0.049,0.095,0.298,0.54,0.848,1.092,1.09,1.04,0.953,0.968,1.034,1.08,0.986,0.77,0.747,0.582,0.454,0.376,0.327,0.194
94,0.661,0.575,0.191,0.078,0.119,0.051,0.488,0.55,0.56,0.631,0.422,0.426,0.975,0.94,0.943,0.681,0.525,0.677,0.672,0.311,0.574,0.484,0.413,0.528
95,0.052,0.108,0.111,0.055,0.149,0.057,0.108,0.429,0.405,0.955,0.871,0.968,0.474,0.656,0.948,0.876,0.937,0.838,0.426,0.644,0.661,0.459,0.096,0.062
96,0.119,0.078,0.093,0.173,0.153,0.069,0.171,0.421,0.55,0.932,0.926,0.837,0.504,0.465,0.928,0.952,0.837,0.921,0.545,0.541,0.599,0.469,0.161,0.104
97,0.096,0.175,0.195,0.066,0.189,0.172,0.91,0.832,0.911,0.941,0.949,0.352,0.568,0.693,0.431,0.596,0.357,0.439,0.368,0.693,0.548,0.539,0.056,0.179
98,0.956,0.901,0.965,0.662,0.462,0.588,0.122,0.165,0.13,0.112,0.163,0.078,0.346,0.57,0.57,0.306,0.446,0.389,0.416,0.318,0.932,0.86,0.988,0.94
99,0.15,0.189,0.078,0.086,0.139,0.155,0.153,0.51,0.549,0.982,0.813,0.946,0.408,0.597,0.978,0.89,0.992,0.848,0.389,0.475,0.508,0.59,0.101,0.086
